obs,start,stop,freq,flux,err,rms,band
2,2024-02-07 6:21:09.9,2024-02-07 10:44:39.9,5.5,548,75,40,C
3,2024-02-12 4:30:09.9,2024-02-12 7:20:09.9,5.5,624,46,23,C
4,2024-02-16 23:36:49.9,2024-02-16 6:26:09.9,5.5,660,23,17,C
5,2024-02-23 07:06:40.0,2024-02-23 10:55:10.0,5.5,393,42,45,C
6,2024-02-29 03:00:00.0,2024-02-29 10:00:00.0,5.5,620,30,24,C
7,2024-03-31 00:00:00.0,2024-03-31 08:30:30.0,5.5,541,23,22,C
8,2024-04-20 20:00:00.0,2024-04-21 06:30:30.0,5.5,688,37,30,C
9,2024-06-13 16:05:50.0,2024-06-14 02:51:40.0,5.5,738,19,7,C
10,2024-07-12 12:28:29.9,2024-07-12 12:28:29.9,5.5,737,11,8,C
