obsdate,freq,flux,err,rms
0.097476851852,628495.719078,2290.86765277,211.001449381,229.0
0.104212962964,673690.916854,1518.4818284,23.7757486299,151.8
0.105212962968,673690.916854,1518.4818284,23.7757486299,151.8
0.106212962964,544087.945554,1841.20176969,15.2622854931,184.1
0.108212962965,455611.638298,1961.3302044,18.0645187643,196.1
0.109212962969,544087.945554,1648.54719085,13.6653126723,164.8
0.109583333333,485415.249352,1958.84467351,18.0416261788,195.9
0.110416666667,180380.540313,2768.85336485,102.008327721,276.9
0.122212962968,455611.638298,1677.06817075,16.9910055476,167.7
0.123212962964,673690.916854,1274.7047352,14.0885573819,127.4
0.123212962964,371950.940447,1881.65578683,32.9283114932,188.1
0.126212962969,544087.945554,1531.44492732,11.2841032332,153.1
0.139212962968,455611.638298,1529.50435007,14.0872556645,152.9
0.139212962968,544087.945554,1309.48757997,9.6486610595,130.9
0.846782407407,628495.719078,208.929613085,19.244053094,20.89
2,239833.9664,50.1187233627,6.9235247366,5.012
