obs,start,stop,freq,flux,err,rms,band
6,2024-02-29 03:00:00.0,2024-02-29 10:00:00.0,9.0,302,20,19,X
6,2024-02-29 03:00:00.0,2024-02-29 10:00:00.0,16.7,97,16,39,Ku
7,2024-03-31 00:00:00.0,2024-03-31 08:30:30.0,5.5,378,17,21,C
7,2024-03-31 00:00:00.0,2024-03-31 08:30:30.0,9.0,200,14,17,X
7,2024-03-31 00:00:00.0,2024-03-31 08:30:30.0,16.7,145,23,41,Ku
8,2024-04-20 20:00:00.0,2024-04-21 06:30:30.0,1.6,275,31,46,L
8,2024-04-20 20:00:00.0,2024-04-21 06:30:30.0,2.6,388,22,46,S
8,2024-04-20 20:00:00.0,2024-04-21 06:30:30.0,5.5,278,16,32,C
8,2024-04-20 20:00:00.0,2024-04-21 06:30:30.0,9.0,168,15,25,X
9,2024-06-14 22:49:12.0,2024-06-14 23:39:29.0,1.3,187,20,35,L
9,2024-06-14 22:50:07.0,2024-06-14 23:37:33.0,3.1,152,11,14,S
9,2024-06-13 16:05:50.0,2024-06-14 02:51:40.0,5.5,150,8,7,C
9,2024-06-13 16:05:50.0,2024-06-14 02:51:40.0,9.0,100,12,6,X
10,2024-07-16 11:16:29.9,2024-07-16 21:58:09.9,1.6,125,34,21,L
10,2024-07-16 11:16:29.9,2024-07-16 21:58:09.9,2.6,134,26,15,S
10,2024-07-12 12:28:29.9,2024-07-12 12:28:29.9,5.5,113,8.2,9,C
10,2024-07-12 12:28:29.9,2024-07-12 12:28:29.9,9.0,81.2,6.7,7,X
